,SRV_ndvi,Casamance_ndvi,OrientalAndSineSaloum_ndvi,SRV_precip,Casamance_precip,OrientalAndSineSaloum_precip
2000-01-01,,,,,,
2000-02-01,1640.5644400421738,2748.621189594167,2284.6548663889903,,,
2000-03-01,1654.2798840655455,3136.7422038919876,2350.750431063823,,,
2000-04-01,1608.19389198796,3359.0527710559286,2475.2841345687475,,,
2000-05-01,1582.1567924921753,3642.7618914965315,2494.2715323677076,,,
2000-06-01,1626.5785448834272,4394.510496829131,3360.437869344522,0.026535880717218505,0.17123520886186652,0.14333767606338446
2000-07-01,2311.0632064497304,5043.214917846045,4452.25164592677,0.11707048673596683,0.4182309632305907,0.2586742471613751
2000-08-01,3419.772183218922,6197.327707891136,6049.4446178443595,0.1481425521773525,0.41162923764876747,0.3423790914632534
2000-09-01,2867.7153903569374,7176.021588526888,6566.803247754735,0.12765919052535712,0.3649288371248797,0.19094336681826277
2000-10-01,2584.1423434952976,6708.521852640595,5317.273766813099,0.1282883308674697,0.20710147610672427,0.1367524661312543
2000-11-01,2186.578858573982,5667.2238194285965,4163.1246257380935,0.0023529999648025904,0.0032444632762393837,0.004702698328859181
2000-12-01,2073.430186001462,4999.881693311996,3422.5098754246756,4.190190023353195e-05,0.00032816277830263415,0.0002922187904798975
2001-01-01,1931.9347348931663,4194.978697221867,2824.228120167068,8.568976505614222e-05,0.0003571668296237231,9.738496904814158e-05
2001-02-01,1815.6122810935497,3241.371244792916,2404.9942344176893,8.423502507078628e-05,0.0002976180179049256,0.00019950893423312596
2001-03-01,1792.5120012899329,3145.352283649445,2383.5496880467317,0.0002998329170459026,0.0002733230203860357,0.00016283981386038034
2001-04-01,1668.179755647137,3141.3882138894087,2302.8930340005986,0.0017770009975941162,0.00024197535026602898,0.0003950897194330817
2001-05-01,1669.0140400668477,3287.1892097306054,2460.0763113703997,0.0031409847386588484,0.004020269211872248,0.008894765958908275
2001-06-01,1654.236680359756,4748.481996942628,3770.361385620903,0.0075017035357508935,0.19443132690202194,0.14571540776044117
2001-07-01,2319.1028944809486,5998.232012991002,5448.714448840475,0.1503363240888195,0.36202340798303806,0.24499683002557887
2001-08-01,3069.870971415034,6873.36347168415,6275.539021968831,0.15534529662448066,0.36617507987634906,0.24355888194246628
2001-09-01,3185.7441793593734,7224.766846625742,6354.900869860081,0.14476405040406057,0.30342443002278735,0.278659306646853
2001-10-01,2490.066295054948,6725.240953534197,5295.5236862009015,0.013650377783585927,0.09093952582801519,0.05103763794998278
2001-11-01,2168.8428523950556,5799.411664005404,4025.5016088336733,0.003643062627716248,0.011524372178157613,0.008440442670707607
2001-12-01,2067.945990825683,4672.631060789066,3120.598964746191,0.000569399052963596,0.0004143192287019828,0.0004223395665293816
2002-01-01,1852.280457363727,3875.082705174707,2656.0417140862764,0.057957529117994254,0.006172589060312429,0.013309894859650225
2002-02-01,1887.464705282499,3138.7610169210707,2315.727363982779,0.009732999475509707,0.000373177537468682,0.0008688633586228363
2002-03-01,1719.4249677350936,2960.7261526008742,2166.6007639819663,0.00038021216041205413,0.0002692832104724998,0.000292232093800519
2002-04-01,1612.581372442219,2969.815832214451,2152.9269744925855,0.00040584944166483856,0.0003825136636599523,0.0008417535440539115
2002-05-01,1575.432725105518,2969.6281080638196,2218.6384269136793,0.0010221447069483928,0.009556490214846983,0.018440493925886297
2002-06-01,1622.2003977798422,4205.263713648039,3508.951527722209,0.01876380897939765,0.1254397931592787,0.11026306306292956
2002-07-01,1745.599604876714,5553.399803000229,4194.0245306106235,0.04982376195049867,0.15129425739305327,0.1307579938449964
2002-08-01,2156.7583631356583,6255.633769133558,5496.722508394077,0.08617849591856289,0.307856520178674,0.26799707622441177
2002-09-01,2247.3913453753285,6818.815356011895,5973.124828904097,0.06296954782577828,0.32230627236264797,0.166177680570478
2002-10-01,2162.5408348257524,6997.218628712174,5354.121472895698,0.04488963569458908,0.1538662027479042,0.10517704513763304
2002-11-01,1932.131559178564,5888.3159991823195,3814.965923523596,0.0003610712043937487,0.0022498819013707758,0.0019201906370263004
2002-12-01,1844.3383086902854,4370.731517788559,2950.309446829652,0.0019830486236654464,0.0010058723645013149,0.0018742242935710924
2003-01-01,1731.5071151124355,3426.0445115469183,2563.0855401263652,0.0002840039926490446,0.0004127997853781053,0.0027331096214488807
2003-02-01,1691.4278360101132,2852.4826616642486,2284.0040501678814,0.0014247333153734295,0.0003450096930082389,0.00030581389165808937
2003-03-01,1602.2393081564178,2707.2629426402373,2073.230673356815,0.0003130044767415262,0.0002666337102759122,0.00017693123306323407
2003-04-01,1492.2363989231603,2629.9149255841407,2088.295510063177,0.0008272030960693818,0.0004379911252584922,0.002179392445763797
2003-05-01,1503.1933188597072,2742.048827040995,2115.2648701910766,0.00035019331240233236,0.004969664128307944,0.008360649177927955
2003-06-01,1483.6178872949984,3569.9180112627764,2697.5759174160103,0.032634099942984704,0.19634818135310106,0.15832347938897484
2003-07-01,1618.141872357408,5348.6988795660145,4528.291577695537,0.046860166160417896,0.3772643066328261,0.29452951961656615
2003-08-01,2771.7813591330005,6391.680201559888,6562.651723354209,0.16100560063074965,0.5813609204895678,0.4691643491616597
2003-09-01,2895.034512179557,7052.532731816713,6408.2073415082095,0.17863695127709384,0.3794548221779573,0.3767257030274105
2003-10-01,2565.104947630811,7182.030827902522,5938.493266155581,0.08622182684549239,0.17520609239359522,0.10682992525529618
2003-11-01,2264.2311237074364,6249.091864269973,4722.1739077079965,0.0004411068873484739,0.004465701509332638,0.006114853447191372
2003-12-01,2122.4612159914323,5267.186241155503,3596.272645111707,0.0003637499310157344,0.00024336895665575867,0.000250927984840957
2004-01-01,2067.8225951971604,4562.76746841052,3087.1165810686007,0.0021881299052457347,0.002777848900346484,0.002287984091699187
2004-02-01,1966.8383145382975,3603.577729321464,2565.8760951172862,0.001210005111303494,0.0001897406592509056,0.0002864900560399829
2004-03-01,1746.763678467729,3037.516428955156,2397.533416335103,0.0011912627021763889,0.00035289561371056857,0.00040377239228844283
2004-04-01,1714.6186479259218,3500.6842843289796,2602.771165209534,0.0007739838971923692,0.00020780122930268407,0.0006193471294181923
2004-05-01,1658.8261055256398,3672.0846427190063,2699.337376287637,0.0005768474431142315,0.0167509805406845,0.015593845768147707
2004-06-01,1584.8693484826297,5068.278186693549,3911.7004262185383,0.016532287281764,0.18236112121792256,0.14469700825873438
2004-07-01,1984.8629699402534,5921.875972010261,5684.820198108806,0.07955019990569376,0.43147955595290133,0.3043572376467415
2004-08-01,3100.0561089269954,6677.786991347424,6727.720932029653,0.1447434405035375,0.43365640548349976,0.3320734367259474
2004-09-01,2859.698000011471,7130.779481809159,6665.7789609113315,0.11534384731289184,0.3085388379431159,0.20675366597813039
2004-10-01,2118.19911576173,6849.80061314046,4820.048696196633,0.0045563725186176275,0.07988905457089901,0.033900510817287635
2004-11-01,1999.968175138288,5442.961562120912,3619.0402197847325,0.0012403428153775254,0.004210033351657136,0.002486781660657065
2004-12-01,1950.567161641015,4771.207900321169,3164.0247067474024,0.00014421472849560603,0.00031591318870362426,0.0002207490600085937
2005-01-01,1775.1495326270747,3746.2395707858514,2528.191528461517,0.0005648301853404533,0.0002983549434015362,0.0009064917570651935
