Date-Monthly,"Thailand, Wholesale, Bangkok, Rice (5% broken), USD/tonne" Commodity Code: 100640_1 
Jan-21,496.66
Dec-20,475.01
Nov-20,442.79
Oct-20,428.04
Sep-20,455.49
Aug-20,462.52
Jul-20,440.88
Jun-20,478.41
May-20,458.46
Apr-20,506.93
Mar-20,446.22
Feb-20,401.51
Jan-20,401.30
Dec-19,381.42
Nov-19,373.20
Oct-19,375.48
Sep-19,377.78
Aug-19,382.34
Jul-19,366.96
Jun-19,374.13
May-19,366.43
Apr-19,367.54
Mar-19,357.79
Feb-19,364.64
Jan-19,365.23
Dec-18,359.15
Nov-18,356.38
Oct-18,360.96
Sep-18,360.18
Aug-18,357.17
Jul-18,353.21
Jun-18,380.72
May-18,403.69
Apr-18,403.04
Mar-18,378.57
Feb-18,380.68
Jan-18,385.94
Dec-17,357.72
Nov-17,353.29
Oct-17,347.53
Sep-17,355.02
Aug-17,349.18
Jul-17,376.08
Jun-17,409.95
May-17,369.13
Apr-17,336.54
Mar-17,326.75
Feb-17,329.38
Jan-17,336.14
Dec-16,331.19
Nov-16,318.26
Oct-16,329.81
Sep-16,347.88
Aug-16,377.20
Jul-16,397.66
Jun-16,393.91
May-16,384.42
Apr-16,351.11
Mar-16,341.94
Feb-16,341.71
Jan-16,332.00
Dec-15,322.43
Nov-15,332.21
Oct-15,335.61
Sep-15,318.51
Aug-15,334.76
Jul-15,352.57
Jun-15,335.39
May-15,344.12
Apr-15,356.82
Mar-15,366.64
Feb-15,376.07
Jan-15,378.50
Dec-14,376.43
Nov-14,375.59
Oct-14,386.35
Sep-14,392.39
Aug-14,397.55
Jul-14,380.88
Jun-14,359.36
May-14,343.52
Apr-14,349.83
Mar-14,368.09
Feb-14,409.51
Jan-14,398.67
Dec-13,399.70
Nov-13,400.08
Oct-13,398.56
Sep-13,408.23
Aug-13,441.88
Jul-13,480.32
Jun-13,495.65
May-13,515.44
Apr-13,527.47
Mar-13,525.04
Feb-13,547.17
Jan-13,546.82
Dec-12,530.79
Nov-12,535.73
Oct-12,535.60
Sep-12,539.54
Aug-12,539.20
Jul-12,537.07
Jun-12,568.97
May-12,566.10
Apr-12,517.90
Mar-12,500.94
Feb-12,494.08
Jan-12,488.97
Dec-11,532.52
Nov-11,570.20
Oct-11,556.03
Sep-11,548.12
Aug-11,516.47
Jul-11,491.98
Jun-11,465.82
May-11,431.87
Apr-11,434.22
Mar-11,440.74
Feb-11,479.68
Jan-11,468.44
Dec-10,486.74
Nov-10,474.68
Oct-10,434.98
Sep-10,427.72
Aug-10,408.86
Jul-10,388.66
Jun-10,392.90
May-10,396.29
Apr-10,400.83
Mar-10,445.73
Feb-10,483.02
Jan-10,517.48
Dec-09,534.46
Nov-09,487.11
Oct-09,448.28
Sep-09,472.17
Aug-09,478.69
Jul-09,514.15
Jun-09,508.86
May-09,481.46
Apr-09,467.75
Mar-09,506.33
Feb-09,517.98
Jan-09,519.16
Dec-08,480.70
Nov-08,488.18
Oct-08,529.03
Sep-08,627.49
Aug-08,596.82
Jul-08,625.58
Jun-08,635.21
May-08,753.81
Apr-08,800.40
Mar-08,539.96
Feb-08,419.01
Jan-08,351.13
Dec-07,325.74
Nov-07,323.93
Oct-07,307.96
Sep-07,300.13
Aug-07,303.66
Jul-07,308.82
Jun-07,307.42
May-07,297.92
Apr-07,293.82
Mar-07,296.44
Feb-07,294.19
Jan-07,292.16
Dec-06,285.48
Nov-06,277.57
Oct-06,281.36
Sep-06,291.16
Aug-06,294.64
Jul-06,297.05
Jun-06,294.24
May-06,290.98
Apr-06,287.26
Mar-06,287.16
Feb-06,284.23
Jan-06,276.91
Dec-05,265.06
Nov-05,262.96
Oct-05,270.54
Sep-05,269.96
Aug-05,268.61
Jul-05,261.00
Jun-05,269.73
May-05,278.15
Apr-05,269.77
Mar-05,276.25
Feb-05,274.28
Jan-05,271.09
Dec-04,261.62
Nov-04,243.28
Oct-04,226.88
Sep-04,218.68
Aug-04,223.10
Jul-04,217.35
Jun-04,214.83
May-04,214.88
Apr-04,223.64
Mar-04,221.58
Feb-04,210.69
Jan-04,199.04
Dec-03,184.64
Nov-03,179.22
Oct-03,181.71
Sep-03,182.59
Aug-03,179.56
Jul-03,185.49
Jun-03,191.12
May-03,186.34
Apr-03,182.73
Mar-03,183.01
Feb-03,186.19
Jan-03,185.87
Dec-02,173.38
Nov-02,173.56
Oct-02,172.18
Sep-02,173.03
Aug-02,176.82
Jul-02,184.11
Jun-02,189.71
May-02,187.82
Apr-02,178.12
Mar-02,176.24
Feb-02,182.84
Jan-02,178.39
Dec-01,165.44
Nov-01,160.91
Oct-01,157.23
Sep-01,160.28
Aug-01,155.13
Jul-01,155.11
Jun-01,153.60
May-01,148.50
Apr-01,147.82
Mar-01,159.43
Feb-01,170.09
Jan-01,169.37
Dec-00,169.57
Nov-00,169.94
Oct-00,172.53
Sep-00,162.32
Aug-00,170.03
Jul-00,170.37
Jun-00,176.67
May-00,176.60
Apr-00,190.95
Mar-00,202.57
Feb-00,221.17
Jan-00,220.84
