Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Thailand,Bangkok,Rice,Wholesale,2000,01,7.591,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,02,7.646,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,03,7.145,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,04,6.749,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,05,6.446,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,06,6.429,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,07,6.404,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,08,6.508,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,09,6.467,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,10,6.999,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,11,6.908,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2000,12,6.806,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,01,6.83,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,02,6.747,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,03,6.478,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,04,6.264,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,05,6.337,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,06,6.553,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,07,6.754,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,08,6.695,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,09,6.841,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,10,6.758,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,11,6.702,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2001,12,6.798,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,01,7.332,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,02,7.481,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,03,7.21,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,04,7.284,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,05,7.495,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,06,7.458,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,07,7.129,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,08,7.039,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,09,7.023,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,10,7.246,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,11,7.229,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2002,12,7.169,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,01,7.464,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,02,7.463,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,03,7.296,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,04,7.292,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,05,7.298,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,06,7.427,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,07,7.252,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,08,7.071,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,09,7.05,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,10,6.89,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,11,6.807,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2003,12,6.947,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
Thailand,Bangkok,Rice,Wholesale,2004,01,7.338,KG,THB,Department of Internal Trade; Ministry of Commerce via FAO: GIEWS/FPMA
