Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","7000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","15910","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","48931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","33207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","22566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","8856","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","8","Antigua and Barbuda","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","14660","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","29880","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","21949","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","13695","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","11153","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","46662","A","Aggregate, may include official, semi-official, estimated or calculated data"
