Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2000","2000","tonnes","536871","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2001","2001","tonnes","682067","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2002","2002","tonnes","792192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","890032","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","820690","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","855909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","705891","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","1072705","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","1012410","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","770903","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2010","2010","tonnes","706698","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","807835","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","1040799","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","1123550","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","1111241","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","1159326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","973746","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","1180511","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2018","2018","tonnes","1284610","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","892088","A","Aggregate, may include official, semi-official, estimated or calculated data"
