Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","195","Senegal","5510","Production","79","Millet","2000","2000","tonnes","600221","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2001","2001","tonnes","556655","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2002","2002","tonnes","414820","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2003","2003","tonnes","628426","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2004","2004","tonnes","323752","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2005","2005","tonnes","608551","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2006","2006","tonnes","494345","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2007","2007","tonnes","318822","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2008","2008","tonnes","678171","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2009","2009","tonnes","810121","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2010","2010","tonnes","813295","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2011","2011","tonnes","480759","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2012","2012","tonnes","662614","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2013","2013","tonnes","515365","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2014","2014","tonnes","408993","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2015","2015","tonnes","749874","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2016","2016","tonnes","493340","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2017","2017","tonnes","875484","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2018","2018","tonnes","897574","","Official data"
"QC","Crops","195","Senegal","5510","Production","79","Millet","2019","2019","tonnes","807044","","Official data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2000","2000","tonnes","134929","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2001","2001","tonnes","138062","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2002","2002","tonnes","114987","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","154614","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","134563","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","186146","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","127059","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","128984","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","272282","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","334903","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2010","2010","tonnes","402897","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","270685","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","313256","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","290914","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","372867","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","604534","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","630982","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","674516","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2018","2018","tonnes","804794","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","770872","Fc","Calculated data"
