Date-Monthly,"Brazil, Retail, São Paulo, Rice, USD/tonne Commodity Code: 1006_1 ","Thailand, Wholesale, Bangkok, Rice (5% broken), USD/tonne Commodity Code: 100640_1 ","India, Wholesale, Mumbai, Rice, USD/tonne Commodity Code: 1006 "
21-Jan,,496.66,349.80
20-Dec,1050.00,475.01,346.50
20-Nov,1020.00,442.79,335.90
20-Oct,870.00,428.04,326.70
20-Sep,870.00,455.49,326.60
20-Aug,690.00,462.52,332.30
20-Jul,700.00,440.88,346.00
20-Jun,700.00,478.41,354.30
20-May,620.00,458.46,327.70
20-Apr,670.00,506.93,321.60
20-Mar,690.00,446.22,338.60
20-Feb,770.00,401.51,349.70
20-Jan,780.00,401.30,357.90
19-Dec,760.00,381.42,351.20
19-Nov,800.00,373.20,349.90
19-Oct,800.00,375.48,351.90
19-Sep,810.00,377.78,360.10
19-Aug,810.00,382.34,365.40
19-Jul,850.00,366.96,367.40
19-Jun,830.00,374.13,371.80
19-May,800.00,366.43,367.00
19-Apr,800.00,367.54,368.00
19-Mar,880.00,357.79,389.90
19-Feb,850.00,364.64,393.10
19-Jan,840.00,365.23,390.80
18-Dec,830.00,359.15,365.80
18-Nov,850.00,356.38,357.50
18-Oct,880.00,360.96,353.10
18-Sep,810.00,360.18,368.30
18-Aug,800.00,357.17,373.90
18-Jul,820.00,353.21,364.50
18-Jun,830.00,380.72,390.60
18-May,800.00,403.69,385.60
18-Apr,900.00,403.04,388.50
18-Mar,950.00,378.57,384.50
18-Feb,980.00,380.68,400.80
18-Jan,1000.00,385.94,400.70
17-Dec,980.00,357.72,388.50
17-Nov,980.00,353.29,374.40
17-Oct,1020.00,347.53,377.60
17-Sep,1050.00,355.02,393.50
17-Aug,1000.00,349.18,387.10
17-Jul,1000.00,376.08,380.10
17-Jun,940.00,409.95,380.20
17-May,1020.00,369.13,386.10
17-Apr,1020.00,336.54,386.40
17-Mar,1080.00,326.75,371.90
17-Feb,1080.00,329.38,365.20
17-Jan,1020.00,336.14,359.90
16-Dec,970.00,331.19,360.80
16-Nov,1000.00,318.26,362.30
16-Oct,1040.00,329.81,367.00
16-Sep,1050.00,347.88,367.10
16-Aug,1030.00,377.20,366.00
16-Jul,990.00,397.66,378.30
16-Jun,930.00,393.91,376.40
16-May,860.00,384.42,369.40
16-Apr,840.00,351.11,367.00
16-Mar,850.00,341.94,363.20
16-Feb,740.00,341.71,351.70
16-Jan,740.00,332.00,341.00
15-Dec,750.00,322.43,313.60
15-Nov,760.00,332.21,349.00
15-Oct,730.00,335.61,354.30
15-Sep,700.00,318.51,351.50
15-Aug,760.00,334.76,361.10
15-Jul,820.00,352.57,369.20
15-Jun,840.00,335.39,362.30
15-May,890.00,344.12,363.40
15-Apr,890.00,356.82,356.90
