Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,1,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,2,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,3,5000,KG,GNF,WFP
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,4,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,5,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,6,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,7,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,8,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,9,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,10,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,11,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2012,12,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,1,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,2,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,3,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,4,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,5,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,6,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,7,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,8,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,9,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,10,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,11,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2013,12,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,1,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,2,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,3,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,4,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,5,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,6,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,7,,KG,GNF,
Guinea,Conakry-Concasseur,Rice (imported),Retail,2014,8,,KG,GNF,
