,REGION,DEPARTEMENT,MARCHE,DATE,MIL_DETAIL,RIZ_IMP_BR ORD.
0,FK,FATICK,FATICK,02-Jan-00,100,210.0
1,DK,PIKINE,THIAROYE,05-Jan-00,120,225.0
2,DK,DAKAR,TILENE,05-Jan-00,120,225.0
3,SL,ST.LOUIS,ST.LOUIS,05-Jan-00,125,200.0
4,KD,VELINGARA,DIAOBE,05-Jan-00,100,225.0
5,DL,DIOURBEL,DIOURBEL,06-Jan-00,110,210.0
6,KL,KAOLACK,KAOLACK,06-Jan-00,110,210.0
7,KD,KOLDA,KOLDA,06-Jan-00,100,220.0
8,LG,LOUGA,LOUGA,06-Jan-00,110,210.0
9,TH,THIES,THIES,06-Jan-00,120,230.0
10,ZG,ZIGUINCHOR,ST.MAUR,06-Jan-00,110,225.0
11,DL,MBACKE,TOUBA,07-Jan-00,100,210.0
12,FK,FATICK,FATICK,09-Jan-00,100,210.0
13,DL,DIOURBEL,DIOURBEL,13-Jan-00,105,210.0
14,KL,KAOLACK,KAOLACK,13-Jan-00,110,210.0
15,KD,KOLDA,KOLDA,13-Jan-00,100,220.0
16,LG,LOUGA,LOUGA,13-Jan-00,110,210.0
17,DK,PIKINE,THIAROYE,13-Jan-00,120,225.0
18,TH,THIES,THIES,13-Jan-00,110,225.0
19,DK,DAKAR,TILENE,13-Jan-00,120,225.0
20,SL,ST.LOUIS,ST.LOUIS,13-Jan-00,110,225.0
21,ZG,ZIGUINCHOR,ST.MAUR,13-Jan-00,110,225.0
22,DL,MBACKE,TOUBA,14-Jan-00,100,210.0
23,FK,FATICK,FATICK,16-Jan-00,105,200.0
24,KD,KOLDA,KOLDA,18-Jan-00,100,220.0
25,DK,PIKINE,THIAROYE,19-Jan-00,125,225.0
26,DK,DAKAR,TILENE,19-Jan-00,125,225.0
27,KD,VELINGARA,DIAOBE,19-Jan-00,100,225.0
28,DL,DIOURBEL,DIOURBEL,20-Jan-00,105,200.0
29,KL,KAOLACK,KAOLACK,20-Jan-00,110,210.0
30,LG,LOUGA,LOUGA,20-Jan-00,110,210.0
31,TH,THIES,THIES,20-Jan-00,110,230.0
32,SL,ST.LOUIS,ST.LOUIS,20-Jan-00,115,200.0
33,ZG,ZIGUINCHOR,ST.MAUR,20-Jan-00,125,225.0
34,DL,MBACKE,TOUBA,21-Jan-00,105,210.0
35,DK,PIKINE,THIAROYE,22-Jan-00,125,225.0
36,DK,DAKAR,TILENE,22-Jan-00,125,225.0
37,FK,FATICK,FATICK,23-Jan-00,105,200.0
38,KD,KOLDA,KOLDA,26-Jan-00,100,220.0
39,DK,PIKINE,THIAROYE,26-Jan-00,125,225.0
40,TH,THIES,THIES,26-Jan-00,110,215.0
41,SL,ST.LOUIS,ST.LOUIS,26-Jan-00,125,250.0
42,DL,DIOURBEL,DIOURBEL,27-Jan-00,100,215.0
43,KL,KAOLACK,KAOLACK,27-Jan-00,95,210.0
44,LG,LOUGA,LOUGA,27-Jan-00,110,210.0
45,DK,DAKAR,TILENE,27-Jan-00,120,225.0
46,ZG,ZIGUINCHOR,ST.MAUR,27-Jan-00,125,225.0
47,DL,MBACKE,TOUBA,04-Feb-00,110,210.0
48,FK,FATICK,FATICK,06-Feb-00,110,200.0
49,SL,ST.LOUIS,ST.LOUIS,07-Feb-00,125,210.0
50,DK,PIKINE,THIAROYE,09-Feb-00,125,225.0
51,TH,THIES,THIES,09-Feb-00,105,205.0
52,DK,DAKAR,TILENE,09-Feb-00,120,225.0
53,KD,VELINGARA,DIAOBE,09-Feb-00,110,225.0
54,DL,DIOURBEL,DIOURBEL,10-Feb-00,110,200.0
55,KL,KAOLACK,KAOLACK,10-Feb-00,100,200.0
56,KD,KOLDA,KOLDA,10-Feb-00,100,220.0
57,ZG,ZIGUINCHOR,ST.MAUR,10-Feb-00,125,225.0
58,LG,LOUGA,LOUGA,17-Feb-00,120,210.0
59,DL,MBACKE,TOUBA,18-Feb-00,110,210.0
60,FK,FATICK,FATICK,20-Feb-00,120,200.0
61,KD,KOLDA,KOLDA,20-Feb-00,125,215.0
62,DK,PIKINE,THIAROYE,23-Feb-00,125,225.0
63,TH,THIES,THIES,23-Feb-00,110,215.0
64,DK,DAKAR,TILENE,23-Feb-00,125,225.0
65,SL,ST.LOUIS,ST.LOUIS,23-Feb-00,125,250.0
66,KD,VELINGARA,DIAOBE,23-Feb-00,115,225.0
67,DL,DIOURBEL,DIOURBEL,24-Feb-00,115,200.0
68,KL,KAOLACK,KAOLACK,24-Feb-00,100,200.0
69,ZG,ZIGUINCHOR,ST.MAUR,24-Feb-00,125,225.0
70,FK,FATICK,FATICK,05-Mar-00,115,210.0
71,DL,MBACKE,TOUBA,06-Mar-00,115,200.0
72,KD,KOLDA,KOLDA,07-Mar-00,125,225.0
73,DK,PIKINE,THIAROYE,08-Mar-00,125,225.0
74,TH,THIES,THIES,08-Mar-00,110,230.0
75,KD,VELINGARA,DIAOBE,08-Mar-00,115,220.0
76,DL,DIOURBEL,DIOURBEL,09-Mar-00,105,200.0
77,KL,KAOLACK,KAOLACK,09-Mar-00,100,200.0
78,LG,LOUGA,LOUGA,09-Mar-00,120,200.0
79,DK,DAKAR,TILENE,09-Mar-00,125,225.0
80,SL,ST.LOUIS,ST.LOUIS,09-Mar-00,125,250.0
81,ZG,ZIGUINCHOR,ST.MAUR,09-Mar-00,125,225.0
82,FK,FATICK,FATICK,12-Mar-00,115,210.0
83,DL,MBACKE,TOUBA,13-Mar-00,115,200.0
84,DK,PIKINE,THIAROYE,15-Mar-00,125,225.0
85,DK,DAKAR,TILENE,15-Mar-00,125,225.0
86,KD,VELINGARA,DIAOBE,15-Mar-00,115,220.0
87,DL,DIOURBEL,DIOURBEL,16-Mar-00,105,200.0
88,KL,KAOLACK,KAOLACK,16-Mar-00,100,200.0
89,KD,KOLDA,KOLDA,16-Mar-00,125,225.0
90,LG,LOUGA,LOUGA,16-Mar-00,120,200.0
91,TH,THIES,THIES,16-Mar-00,110,230.0
92,SL,ST.LOUIS,ST.LOUIS,16-Mar-00,125,250.0
93,ZG,ZIGUINCHOR,ST.MAUR,16-Mar-00,125,225.0
94,KD,KOLDA,KOLDA,20-Mar-00,130,220.0
95,FK,FATICK,FATICK,21-Mar-00,120,210.0
96,DL,MBACKE,TOUBA,22-Mar-00,115,210.0
97,SL,ST.LOUIS,ST.LOUIS,22-Mar-00,125,210.0
98,DL,DIOURBEL,DIOURBEL,23-Mar-00,115,200.0
99,KL,KAOLACK,KAOLACK,23-Mar-00,100,200.0
100,LG,LOUGA,LOUGA,23-Mar-00,120,200.0
101,TH,THIES,THIES,23-Mar-00,110,230.0
102,ZG,ZIGUINCHOR,ST.MAUR,23-Mar-00,125,225.0
103,FK,FATICK,FATICK,26-Mar-00,120,210.0
104,DL,MBACKE,TOUBA,27-Mar-00,110,200.0
105,DK,PIKINE,THIAROYE,29-Mar-00,125,225.0
106,SL,ST.LOUIS,ST.LOUIS,29-Mar-00,125,215.0
107,KD,VELINGARA,DIAOBE,29-Mar-00,110,225.0
108,DL,DIOURBEL,DIOURBEL,30-Mar-00,110,210.0
109,KL,KAOLACK,KAOLACK,30-Mar-00,100,200.0
110,KD,KOLDA,KOLDA,30-Mar-00,125,220.0
111,LG,LOUGA,LOUGA,30-Mar-00,120,200.0
112,TH,THIES,THIES,30-Mar-00,110,225.0
113,DK,DAKAR,TILENE,30-Mar-00,125,225.0
114,ZG,ZIGUINCHOR,ST.MAUR,30-Mar-00,125,225.0
115,DL,MBACKE,TOUBA,31-Mar-00,115,200.0
116,FK,FATICK,FATICK,02-Apr-00,120,210.0
117,DK,PIKINE,THIAROYE,05-Apr-00,125,225.0
118,TH,THIES,THIES,05-Apr-00,110,218.0
119,DK,DAKAR,TILENE,05-Apr-00,125,225.0
120,KD,VELINGARA,DIAOBE,05-Apr-00,110,225.0
121,DL,DIOURBEL,DIOURBEL,06-Apr-00,115,200.0
122,KL,KAOLACK,KAOLACK,06-Apr-00,100,200.0
123,KD,KOLDA,KOLDA,06-Apr-00,125,220.0
124,LG,LOUGA,LOUGA,06-Apr-00,120,200.0
125,SL,ST.LOUIS,ST.LOUIS,06-Apr-00,125,250.0
126,ZG,ZIGUINCHOR,ST.MAUR,06-Apr-00,125,225.0
127,DL,MBACKE,TOUBA,14-Apr-00,115,200.0
128,FK,FATICK,FATICK,16-Apr-00,120,210.0
129,KD,KOLDA,KOLDA,18-Apr-00,125,220.0
130,TH,THIES,THIES,19-Apr-00,115,230.0
131,KD,VELINGARA,DIAOBE,19-Apr-00,125,225.0
132,DL,DIOURBEL,DIOURBEL,20-Apr-00,120,210.0
133,KL,KAOLACK,KAOLACK,20-Apr-00,95,200.0
134,LG,LOUGA,LOUGA,20-Apr-00,120,210.0
135,DK,PIKINE,THIAROYE,20-Apr-00,125,230.0
136,DK,DAKAR,TILENE,20-Apr-00,125,225.0
137,SL,ST.LOUIS,ST.LOUIS,20-Apr-00,120,250.0
138,ZG,ZIGUINCHOR,ST.MAUR,20-Apr-00,130,225.0
139,DL,MBACKE,TOUBA,21-Apr-00,115,210.0
140,FK,FATICK,FATICK,23-Apr-00,120,210.0
141,DK,PIKINE,THIAROYE,26-Apr-00,125,230.0
142,TH,THIES,THIES,26-Apr-00,115,230.0
143,DK,DAKAR,TILENE,26-Apr-00,125,225.0
144,SL,ST.LOUIS,ST.LOUIS,26-Apr-00,125,200.0
145,DL,DIOURBEL,DIOURBEL,27-Apr-00,110,200.0
146,KL,KAOLACK,KAOLACK,27-Apr-00,100,200.0
147,KD,KOLDA,KOLDA,27-Apr-00,125,220.0
148,LG,LOUGA,LOUGA,27-Apr-00,110,210.0
149,ZG,ZIGUINCHOR,ST.MAUR,27-Apr-00,130,225.0
150,FK,FATICK,FATICK,30-Apr-00,120,210.0
151,DK,PIKINE,THIAROYE,03-May-00,125,225.0
152,DK,DAKAR,TILENE,03-May-00,125,225.0
153,DL,MBACKE,TOUBA,03-May-00,110,210.0
154,DL,DIOURBEL,DIOURBEL,04-May-00,105,200.0
155,KL,KAOLACK,KAOLACK,04-May-00,90,200.0
156,KD,KOLDA,KOLDA,04-May-00,125,220.0
157,LG,LOUGA,LOUGA,04-May-00,110,215.0
158,TH,THIES,THIES,04-May-00,115,230.0
159,SL,ST.LOUIS,ST.LOUIS,04-May-00,125,250.0
160,ZG,ZIGUINCHOR,ST.MAUR,04-May-00,130,225.0
161,FK,FATICK,FATICK,07-May-00,120,210.0
162,DL,MBACKE,TOUBA,08-May-00,110,200.0
163,KD,KOLDA,KOLDA,09-May-00,125,225.0
164,DK,PIKINE,THIAROYE,10-May-00,115,225.0
165,DK,DAKAR,TILENE,10-May-00,115,225.0
166,SL,ST.LOUIS,ST.LOUIS,10-May-00,125,200.0
167,KD,VELINGARA,DIAOBE,10-May-00,125,225.0
168,DL,DIOURBEL,DIOURBEL,11-May-00,105,200.0
169,KL,KAOLACK,KAOLACK,11-May-00,90,200.0
170,LG,LOUGA,LOUGA,11-May-00,110,215.0
171,TH,THIES,THIES,11-May-00,115,220.0
172,ZG,ZIGUINCHOR,ST.MAUR,11-May-00,130,225.0
173,FK,FATICK,FATICK,14-May-00,120,210.0
174,DL,MBACKE,TOUBA,15-May-00,110,200.0
175,DK,PIKINE,THIAROYE,17-May-00,115,225.0
176,TH,THIES,THIES,17-May-00,115,240.0
177,SL,ST.LOUIS,ST.LOUIS,17-May-00,125,240.0
178,DL,DIOURBEL,DIOURBEL,18-May-00,105,200.0
179,KL,KAOLACK,KAOLACK,18-May-00,90,200.0
180,KD,KOLDA,KOLDA,18-May-00,125,215.0
181,LG,LOUGA,LOUGA,18-May-00,120,215.0
182,DK,DAKAR,TILENE,18-May-00,115,225.0
183,ZG,ZIGUINCHOR,ST.MAUR,18-May-00,130,225.0
184,FK,FATICK,FATICK,21-May-00,120,210.0
185,DK,PIKINE,THIAROYE,24-May-00,115,225.0
186,DK,DAKAR,TILENE,24-May-00,115,225.0
187,SL,ST.LOUIS,ST.LOUIS,24-May-00,120,240.0
188,KD,VELINGARA,DIAOBE,24-May-00,125,215.0
189,DL,DIOURBEL,DIOURBEL,25-May-00,100,190.0
190,KL,KAOLACK,KAOLACK,25-May-00,90,200.0
191,KD,KOLDA,KOLDA,25-May-00,125,215.0
192,LG,LOUGA,LOUGA,25-May-00,120,215.0
193,TH,THIES,THIES,25-May-00,115,220.0
194,DL,MBACKE,TOUBA,25-May-00,105,190.0
195,ZG,ZIGUINCHOR,ST.MAUR,25-May-00,130,210.0
196,DL,MBACKE,TOUBA,02-Jun-00,110,190.0
197,FK,FATICK,FATICK,04-Jun-00,115,210.0
198,TH,THIES,THIES,07-Jun-00,113,210.0
199,SL,ST.LOUIS,ST.LOUIS,07-Jun-00,125,220.0
200,KD,VELINGARA,DIAOBE,07-Jun-00,125,215.0
201,DL,DIOURBEL,DIOURBEL,08-Jun-00,105,200.0
202,KL,KAOLACK,KAOLACK,08-Jun-00,95,200.0
203,KD,KOLDA,KOLDA,08-Jun-00,125,215.0
204,LG,LOUGA,LOUGA,08-Jun-00,120,210.0
205,DK,PIKINE,THIAROYE,08-Jun-00,120,225.0
206,DK,DAKAR,TILENE,08-Jun-00,120,225.0
207,ZG,ZIGUINCHOR,ST.MAUR,08-Jun-00,130,210.0
