REGION,DEPARTEMENT,MARCHE,DATE,MIL_DETAIL, RIZ_IMP_BR ORD. 
FK,FATICK,FATICK,2-Jan-00,100,210
DK,PIKINE,THIAROYE,5-Jan-00,120,225
DK,DAKAR,TILENE,5-Jan-00,120,225
SL,ST.LOUIS,ST.LOUIS,5-Jan-00,125,200
KD,VELINGARA,DIAOBE,5-Jan-00,100,225
DL,DIOURBEL,DIOURBEL,6-Jan-00,110,210
KL,KAOLACK,KAOLACK,6-Jan-00,110,210
KD,KOLDA,KOLDA,6-Jan-00,100,220
LG,LOUGA,LOUGA,6-Jan-00,110,210
TH,THIES,THIES,6-Jan-00,120,230
ZG,ZIGUINCHOR,ST.MAUR,6-Jan-00,110,225
DL,MBACKE,TOUBA,7-Jan-00,100,210
FK,FATICK,FATICK,9-Jan-00,100,210
DL,DIOURBEL,DIOURBEL,13-Jan-00,105,210
KL,KAOLACK,KAOLACK,13-Jan-00,110,210
KD,KOLDA,KOLDA,13-Jan-00,100,220
LG,LOUGA,LOUGA,13-Jan-00,110,210
DK,PIKINE,THIAROYE,13-Jan-00,120,225
TH,THIES,THIES,13-Jan-00,110,225
DK,DAKAR,TILENE,13-Jan-00,120,225
SL,ST.LOUIS,ST.LOUIS,13-Jan-00,110,225
ZG,ZIGUINCHOR,ST.MAUR,13-Jan-00,110,225
DL,MBACKE,TOUBA,14-Jan-00,100,210
FK,FATICK,FATICK,16-Jan-00,105,200
KD,KOLDA,KOLDA,18-Jan-00,100,220
DK,PIKINE,THIAROYE,19-Jan-00,125,225
DK,DAKAR,TILENE,19-Jan-00,125,225
KD,VELINGARA,DIAOBE,19-Jan-00,100,225
DL,DIOURBEL,DIOURBEL,20-Jan-00,105,200
KL,KAOLACK,KAOLACK,20-Jan-00,110,210
LG,LOUGA,LOUGA,20-Jan-00,110,210
TH,THIES,THIES,20-Jan-00,110,230
SL,ST.LOUIS,ST.LOUIS,20-Jan-00,115,200
ZG,ZIGUINCHOR,ST.MAUR,20-Jan-00,125,225
DL,MBACKE,TOUBA,21-Jan-00,105,210
DK,PIKINE,THIAROYE,22-Jan-00,125,225
DK,DAKAR,TILENE,22-Jan-00,125,225
FK,FATICK,FATICK,23-Jan-00,105,200
KD,KOLDA,KOLDA,26-Jan-00,100,220
DK,PIKINE,THIAROYE,26-Jan-00,125,225
TH,THIES,THIES,26-Jan-00,110,215
SL,ST.LOUIS,ST.LOUIS,26-Jan-00,125,250
DL,DIOURBEL,DIOURBEL,27-Jan-00,100,215
KL,KAOLACK,KAOLACK,27-Jan-00,95,210
LG,LOUGA,LOUGA,27-Jan-00,110,210
DK,DAKAR,TILENE,27-Jan-00,120,225
ZG,ZIGUINCHOR,ST.MAUR,27-Jan-00,125,225
DL,MBACKE,TOUBA,4-Feb-00,110,210
FK,FATICK,FATICK,6-Feb-00,110,200
