Date-Monthly,"India, Wholesale, Mumbai, Rice, USD/tonne" Commodity Code: 1006 
Jan-21,349.80
Dec-20,346.50
Nov-20,335.90
Oct-20,326.70
Sep-20,326.60
Aug-20,332.30
Jul-20,346.00
Jun-20,354.30
May-20,327.70
Apr-20,321.60
Mar-20,338.60
Feb-20,349.70
Jan-20,357.90
Dec-19,351.20
Nov-19,349.90
Oct-19,351.90
Sep-19,360.10
Aug-19,365.40
Jul-19,367.40
Jun-19,371.80
May-19,367.00
Apr-19,368.00
Mar-19,389.90
Feb-19,393.10
Jan-19,390.80
Dec-18,365.80
Nov-18,357.50
Oct-18,353.10
Sep-18,368.30
Aug-18,373.90
Jul-18,364.50
Jun-18,390.60
May-18,385.60
Apr-18,388.50
Mar-18,384.50
Feb-18,400.80
Jan-18,400.70
Dec-17,388.50
Nov-17,374.40
Oct-17,377.60
Sep-17,393.50
Aug-17,387.10
Jul-17,380.10
Jun-17,380.20
May-17,386.10
Apr-17,386.40
Mar-17,371.90
Feb-17,365.20
Jan-17,359.90
Dec-16,360.80
Nov-16,362.30
Oct-16,367.00
Sep-16,367.10
Aug-16,366.00
Jul-16,378.30
Jun-16,376.40
May-16,369.40
Apr-16,367.00
Mar-16,363.20
Feb-16,351.70
Jan-16,341.00
Dec-15,313.60
Nov-15,349.00
Oct-15,354.30
Sep-15,351.50
Aug-15,361.10
Jul-15,369.20
Jun-15,362.30
May-15,363.40
Apr-15,356.90
Mar-15,360.30
Feb-15,356.90
Jan-15,362.80
Dec-14,366.50
Nov-14,374.10
Oct-14,383.10
Sep-14,385.70
Aug-14,378.30
Jul-14,389.40
Jun-14,393.40
May-14,396.30
Apr-14,389.40
Mar-14,388.60
Feb-14,386.90
Jan-14,378.10
Dec-13,378.30
Nov-13,351.30
Oct-13,363.20
Sep-13,360.80
Aug-13,366.10
Jul-13,409.90
Jun-13,402.40
May-13,401.60
Apr-13,394.20
Mar-13,390.60
Feb-13,394.40
Jan-13,386.60
Dec-12,392.90
Nov-12,397.60
Oct-12,406.40
Sep-12,394.70
Aug-12,448.60
Jul-12,433.30
Jun-12,428.30
May-12,428.70
Apr-12,371.60
Mar-12,382.50
Feb-12,391.50
Jan-12,374.90
Dec-11,362.30
Nov-11,375.90
Oct-11,366.30
Sep-11,378.80
Aug-11,393.70
Jul-11,405.60
Jun-11,399.80
May-11,418.30
Apr-11,419.50
Mar-11,411.20
Feb-11,407.20
Jan-11,407.50
Dec-10,410.40
Nov-10,413.70
Oct-10,420.70
Sep-10,406.70
Aug-10,383.90
Jul-10,368.30
Jun-10,377.40
May-10,387.20
Apr-10,392.90
Mar-10,391.60
Feb-10,376.80
Jan-10,381.80
Dec-09,458.90
Nov-09,465.30
Oct-09,372.80
Sep-09,353.50
Aug-09,357.10
Jul-09,324.90
Jun-09,337.50
May-09,329.70
Apr-09,319.60
Mar-09,306.20
Feb-09,314.70
Jan-09,333.40
Dec-08,331.50
Nov-08,331.60
Oct-08,325.80
Sep-08,347.90
Aug-08,369.70
Jul-08,369.10
Jun-08,332.80
May-08,344.20
Apr-08,362.30
Mar-08,359.30
Feb-08,364.90
Jan-08,346.00
Dec-07,329.60
Nov-07,323.30
Oct-07,315.10
Sep-07,301.20
Aug-07,300.10
Jul-07,301.90
Jun-07,294.30
May-07,294.30
Apr-07,272.80
Mar-07,266.90
Feb-07,266.10
Jan-07,265.00
Dec-06,263.20
Nov-06,262.00
Oct-06,258.40
Sep-06,254.80
Aug-06,252.50
Jul-06,252.90
Jun-06,247.00
May-06,245.00
Apr-06,239.20
Mar-06,241.70
Feb-06,242.50
Jan-06,242.10
Dec-05,235.50
Nov-05,232.50
Oct-05,238.50
Sep-05,243.10
Aug-05,244.10
Jul-05,246.50
Jun-05,246.70
May-05,236.80
Apr-05,228.60
Mar-05,228.90
Feb-05,228.90
Jan-05,228.50
Dec-04,227.40
Nov-04,221.60
Oct-04,218.40
Sep-04,213.60
Aug-04,195.20
Jul-04,203.70
Jun-04,206.10
May-04,207.30
Apr-04,213.50
Mar-04,208.40
Feb-04,207.20
Jan-04,206.40
Dec-03,201.90
Nov-03,200.60
Oct-03,201.10
Sep-03,199.10
Aug-03,198.80
Jul-03,197.50
Jun-03,195.40
May-03,193.90
Apr-03,192.70
Mar-03,195.50
Feb-03,199.00
Jan-03,198.20
Dec-02,197.40
Nov-02,196.40
Oct-02,196.40
Sep-02,197.80
Aug-02,200.70
Jul-02,205.10
Jun-02,212.80
May-02,219.40
Apr-02,219.70
Mar-02,220.60
Feb-02,220.80
Jan-02,222.40
Dec-01,224.30
Nov-01,224.00
Oct-01,223.90
Sep-01,225.60
Aug-01,228.10
Jul-01,228.00
Jun-01,228.70
May-01,229.10
Apr-01,229.80
Mar-01,230.60
Feb-01,231.10
Jan-01,231.00
Dec-00,229.90
Nov-00,231.90
Oct-00,231.90
Sep-00,236.40
Aug-00,248.30
Jul-00,256.80
Jun-00,262.90
May-00,269.60
Apr-00,270.10
Mar-00,263.80
Feb-00,263.70
Jan-00,261.0
