Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Diourbel, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Kaolack, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Kolda, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Louga, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Matam, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, SaintLouis, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Tambacounda, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Thies, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Zguinchor, Rice (imported), USD/tonne Commodity Code: 100610_2 "
20-Dec,650.00,830.00,900.00,880.00,830.00,900.00,930.00,930.00,740.00,830.00
20-Nov,630.00,810.00,880.00,860.00,810.00,900.00,900.00,900.00,730.00,810.00
20-Oct,630.00,810.00,880.00,900.00,810.00,900.00,900.00,890.00,730.00,810.00
20-Sep,630.00,800.00,880.00,900.00,810.00,900.00,900.00,900.00,720.00,810.00
20-Aug,630.00,780.00,880.00,830.00,770.00,900.00,900.00,900.00,720.00,810.00
20-Jul,600.00,770.00,850.00,850.00,700.00,870.00,870.00,870.00,700.00,790.00
20-Jun,590.00,750.00,830.00,830.00,700.00,860.00,860.00,860.00,690.00,770.00
20-May,580.00,750.00,830.00,810.00,690.00,,830.00,830.00,660.00,
20-Apr,,,,,,,,,,
20-Mar,580.00,750.00,790.00,790.00,670.00,760.00,670.00,840.00,800.00,760.00
20-Feb,570.00,740.00,760.00,,660.00,750.00,660.00,780.00,660.00,750.00
20-Jan,590.00,750.00,780.00,830.00,640.00,760.00,680.00,760.00,680.00,760.00
19-Dec,590.00,750.00,770.00,800.00,650.00,680.00,680.00,800.00,680.00,760.00
19-Nov,590.00,750.00,810.00,760.00,670.00,670.00,670.00,840.00,670.00,670.00
19-Oct,590.00,750.00,760.00,720.00,670.00,,670.00,780.00,670.00,720.00
19-Sep,590.00,740.00,790.00,720.00,670.00,670.00,670.00,750.00,670.00,750.00
19-Aug,590.00,740.00,810.00,790.00,680.00,760.00,760.00,760.00,680.00,760.00
19-Jul,600.00,770.00,820.00,770.00,680.00,810.00,680.00,770.00,680.00,
19-Jun,600.00,770.00,820.00,770.00,690.00,,690.00,770.00,690.00,
19-May,600.00,800.00,810.00,770.00,680.00,,680.00,770.00,680.00,
19-Apr,600.00,740.00,770.00,750.00,690.00,,690.00,780.00,690.00,
19-Mar,600.00,730.00,780.00,740.00,690.00,780.00,690.00,780.00,690.00,
19-Feb,560.00,730.00,780.00,740.00,690.00,,690.00,780.00,690.00,
19-Jan,610.00,730.00,700.00,740.00,680.00,,700.00,770.00,700.00,
18-Dec,610.00,620.00,690.00,760.00,690.00,,690.00,780.00,690.00,690.00
18-Nov,630.00,640.00,750.00,690.00,690.00,,690.00,770.00,690.00,
18-Oct,610.00,640.00,560.00,700.00,660.00,,700.00,710.00,700.00,
18-Sep,620.00,660.00,710.00,710.00,620.00,,710.00,740.00,710.00,
18-Aug,620.00,640.00,680.00,700.00,620.00,700.00,700.00,760.00,700.00,
18-Jul,620.00,640.00,710.00,710.00,620.00,710.00,710.00,770.00,710.00,
18-Jun,680.00,650.00,710.00,710.00,620.00,530.00,710.00,790.00,710.00,
18-May,670.00,630.00,720.00,720.00,630.00,520.00,720.00,780.00,720.00,
18-Apr,650.00,650.00,750.00,750.00,750.00,,750.00,830.00,750.00,
18-Mar,750.00,690.00,750.00,740.00,750.00,,750.00,850.00,750.00,
18-Feb,660.00,710.00,750.00,750.00,750.00,,750.00,850.00,750.00,
18-Jan,650.00,680.00,740.00,740.00,720.00,580.00,740.00,830.00,740.00,
17-Dec,630.00,700.00,720.00,720.00,680.00,560.00,720.00,800.00,720.00,
17-Nov,630.00,690.00,680.00,780.00,670.00,550.00,720.00,790.00,710.00,
