Date-Monthly,"Guinea, Retail, Conakry, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Mali, Wholesale, Kayes, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Mali, Wholesale, Bamako, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Mauritania, Retail, Nouakchott, Rice (imported), USD/tonne Commodity Code: 100610_2 "
20-Dec,,556.50,602.90,1100.00
20-Nov,670.00,613.60,586.50,1070.00
20-Oct,650.00,610.30,583.40,1060.00
20-Sep,650.00,611.20,602.20,1080.00
20-Aug,660.00,613.10,604.10,980.00
20-Jul,650.00,594.20,585.40,970.00
20-Jun,650.00,583.40,574.80,1040.00
20-May,670.00,565.10,556.80,1030.00
20-Apr,670.00,563.00,538.20,1040.00
20-Mar,660.00,556.60,548.10,1050.00
20-Feb,660.00,548.60,540.30,1050.00
20-Jan,650.00,558.40,550.00,1050.00
19-Dec,660.00,508.30,550.60,1050.00
19-Nov,660.00,556.00,547.50,1050.00
19-Oct,690.00,505.50,547.60,1050.00
19-Sep,680.00,503.30,545.20,1060.00
19-Aug,680.00,508.90,551.30,1070.00
19-Jul,680.00,513.10,555.80,1060.00
19-Jun,690.00,516.50,559.50,1060.00
19-May,680.00,511.50,554.20,1070.00
19-Apr,690.00,514.00,556.80,1040.00
19-Mar,720.00,516.90,560.00,990.00
19-Feb,690.00,519.10,562.40,960.00
19-Jan,680.00,522.10,574.30,940.00
18-Dec,690.00,520.60,572.60,990.00
18-Nov,660.00,554.40,571.80,990.00
18-Oct,640.00,595.20,577.70,1010.00
18-Sep,620.00,604.40,586.60,980.00
18-Aug,620.00,598.60,581.00,980.00
18-Jul,610.00,605.80,588.00,980.00
18-Jun,610.00,605.30,587.50,980.00
18-May,610.00,594.60,612.60,1010.00
18-Apr,620.00,617.60,636.30,1020.00
18-Mar,620.00,620.60,639.40,1020.00
18-Feb,620.00,621.00,639.80,1000.00
18-Jan,610.00,613.40,613.40,990.00
17-Dec,610.00,595.40,595.40,960.00
17-Nov,600.00,590.50,572.60,960.00
17-Oct,600.00,591.40,573.50,960.00
17-Sep,600.00,599.40,581.20,970.00
17-Aug,600.00,594.00,576.00,940.00
17-Jul,590.00,543.90,561.50,950.00
17-Jun,590.00,530.70,547.80,950.00
17-May,580.00,522.60,522.60,950.00
17-Apr,570.00,506.80,506.80,960.00
17-Mar,560.00,505.00,505.00,940.00
17-Feb,560.00,503.00,503.00,930.00
17-Jan,560.00,501.60,501.60,930.00
16-Dec,560.00,514.30,498.30,950.00
16-Nov,560.00,510.40,510.40,960.00
16-Oct,560.00,521.10,521.10,950.00
16-Sep,560.00,529.90,538.40,960.00
16-Aug,570.00,529.90,538.40,910.00
16-Jul,570.00,506.20,523.10,
16-Jun,570.00,513.60,530.70,
16-May,560.00,517.30,534.50,
16-Apr,550.00,518.60,544.50,930.00
16-Mar,550.00,490.70,533.00,
16-Feb,540.00,490.40,515.80,
16-Jan,560.00,496.70,529.80,
15-Dec,610.00,497.50,530.60,950.00
15-Nov,620.00,491.00,523.70,950.00
15-Oct,630.00,513.80,565.20,950.00
15-Sep,630.00,513.20,564.50,950.00
15-Aug,630.00,492.50,560.40,1050.00
15-Jul,640.00,486.10,553.20,1130.00
15-Jun,640.00,495.70,564.10,1200.00
15-May,640.00,492.90,560.90,1210.00
15-Apr,660.00,468.30,542.30,1300.00
15-Mar,650.00,470.90,545.20,1270.00
15-Feb,650.00,493.10,571.00,1330.00
15-Jan,650.00,504.90,584.60,1300.00
14-Dec,660.00,545.20,620.40,1300.00
14-Nov,670.00,541.90,627.40,1300.00
