Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
India,India,Rice,Wholesale,2000,1,1019.75,100 KG,INR,
India,India,Rice,Wholesale,2000,2,1024.37,100 KG,INR,
India,India,Rice,Wholesale,2000,3,1018.15,100 KG,INR,
India,India,Rice,Wholesale,2000,4,1003.58,100 KG,INR,
India,India,Rice,Wholesale,2000,5,1001.6,100 KG,INR,
India,India,Rice,Wholesale,2000,6,1000,100 KG,INR,
India,India,Rice,Wholesale,2000,7,998.33,100 KG,INR,
India,India,Rice,Wholesale,2000,8,987.38,100 KG,INR,
India,India,Rice,Wholesale,2000,9,997.14,100 KG,INR,
India,India,Rice,Wholesale,2000,10,968.33,100 KG,INR,
India,India,Rice,Wholesale,2000,11,932.5,100 KG,INR,
India,India,Rice,Wholesale,2000,12,920.83,100 KG,INR,
India,India,Rice,Wholesale,2001,1,913.13,100 KG,INR,
India,India,Rice,Wholesale,2001,2,950,100 KG,INR,
India,India,Rice,Wholesale,2001,3,950,100 KG,INR,
India,India,Rice,Wholesale,2001,4,894.07,100 KG,INR,
India,India,Rice,Wholesale,2001,5,950,100 KG,INR,
India,India,Rice,Wholesale,2001,6,920.62,100 KG,INR,
India,India,Rice,Wholesale,2001,7,937.08,100 KG,INR,
India,India,Rice,Wholesale,2001,8,921.25,100 KG,INR,
India,India,Rice,Wholesale,2001,9,931.77,100 KG,INR,
India,India,Rice,Wholesale,2001,10,948.25,100 KG,INR,
India,India,Rice,Wholesale,2001,11,954.88,100 KG,INR,
India,India,Rice,Wholesale,2001,12,956.31,100 KG,INR,
India,India,Rice,Wholesale,2002,1,944.38,100 KG,INR,
India,India,Rice,Wholesale,2002,2,923.44,100 KG,INR,
India,India,Rice,Wholesale,2002,3,892.19,100 KG,INR,
India,India,Rice,Wholesale,2002,4,892.92,100 KG,INR,
India,India,Rice,Wholesale,2002,5,890.84,100 KG,INR,
India,India,Rice,Wholesale,2002,6,874.17,100 KG,INR,
India,India,Rice,Wholesale,2002,7,875,100 KG,INR,
India,India,Rice,Wholesale,2002,8,899.69,100 KG,INR,
India,India,Rice,Wholesale,2002,9,909.58,100 KG,INR,
India,India,Rice,Wholesale,2002,10,933.75,100 KG,INR,
India,India,Rice,Wholesale,2002,11,935.31,100 KG,INR,
India,India,Rice,Wholesale,2002,12,929.17,100 KG,INR,
India,India,Rice,Wholesale,2003,1,931.75,100 KG,INR,
India,India,Rice,Wholesale,2003,2,852.92,100 KG,INR,
India,India,Rice,Wholesale,2003,3,907.25,100 KG,INR,
India,India,Rice,Wholesale,2003,4,891.06,100 KG,INR,
India,India,Rice,Wholesale,2003,5,904.82,100 KG,INR,
India,India,Rice,Wholesale,2003,6,896.17,100 KG,INR,
India,India,Rice,Wholesale,2003,7,902.94,100 KG,INR,
India,India,Rice,Wholesale,2003,8,917.94,100 KG,INR,
India,India,Rice,Wholesale,2003,9,939.42,100 KG,INR,
India,India,Rice,Wholesale,2003,10,944.75,100 KG,INR,
India,India,Rice,Wholesale,2003,11,924.92,100 KG,INR,
India,India,Rice,Wholesale,2003,12,930.85,100 KG,INR,
India,India,Rice,Wholesale,2004,1,937.81,100 KG,INR,
India,India,Rice,Wholesale,2004,2,944.92,100 KG,INR,
India,India,Rice,Wholesale,2004,3,923.75,100 KG,INR,
India,India,Rice,Wholesale,2004,4,915.44,100 KG,INR,
India,India,Rice,Wholesale,2004,5,935.12,100 KG,INR,
India,India,Rice,Wholesale,2004,6,954.5,100 KG,INR,
India,India,Rice,Wholesale,2004,7,956.06,100 KG,INR,
India,India,Rice,Wholesale,2004,8,952.42,100 KG,INR,
India,India,Rice,Wholesale,2004,9,974.87,100 KG,INR,
India,India,Rice,Wholesale,2004,10,1030,100 KG,INR,
India,India,Rice,Wholesale,2004,11,1030,100 KG,INR,
India,India,Rice,Wholesale,2004,12,1026.25,100 KG,INR,
India,India,Rice,Wholesale,2005,1,1013.75,100 KG,INR,
India,India,Rice,Wholesale,2005,2,1015,100 KG,INR,
India,India,Rice,Wholesale,2005,3,1025,100 KG,INR,
India,India,Rice,Wholesale,2005,4,1037.5,100 KG,INR,
India,India,Rice,Wholesale,2005,5,1048.75,100 KG,INR,
India,India,Rice,Wholesale,2005,6,1037.5,100 KG,INR,
India,India,Rice,Wholesale,2005,7,1025.75,100 KG,INR,
India,India,Rice,Wholesale,2005,8,1025,100 KG,INR,
India,India,Rice,Wholesale,2005,9,1006.88,100 KG,INR,
India,India,Rice,Wholesale,2005,10,1002.75,100 KG,INR,
India,India,Rice,Wholesale,2005,11,1007.63,100 KG,INR,
India,India,Rice,Wholesale,2005,12,1050,100 KG,INR,
India,India,Rice,Wholesale,2006,1,1058.25,100 KG,INR,
India,India,Rice,Wholesale,2006,2,1078.75,100 KG,INR,
India,India,Rice,Wholesale,2006,3,1077,100 KG,INR,
India,India,Rice,Wholesale,2006,4,1087.5,100 KG,INR,
India,India,Rice,Wholesale,2006,5,1114.38,100 KG,INR,
India,India,Rice,Wholesale,2006,6,1131.57,100 KG,INR,
India,India,Rice,Wholesale,2006,7,1115,100 KG,INR,
India,India,Rice,Wholesale,2006,8,1132.5,100 KG,INR,
India,India,Rice,Wholesale,2006,9,1143.75,100 KG,INR,
India,India,Rice,Wholesale,2006,10,1143.75,100 KG,INR,
India,India,Rice,Wholesale,2006,11,1115,100 KG,INR,
India,India,Rice,Wholesale,2006,12,1117.5,100 KG,INR,
India,India,Rice,Wholesale,2007,1,1100,100 KG,INR,
India,India,Rice,Wholesale,2007,2,1087.19,100 KG,INR,
India,India,Rice,Wholesale,2007,3,1095.19,100 KG,INR,
India,India,Rice,Wholesale,2007,4,1097.75,100 KG,INR,
India,India,Rice,Wholesale,2007,5,1129.63,100 KG,INR,
