Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,01,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,02,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,03,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,04,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,05,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,06,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,07,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,08,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,09,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,10,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,11,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,12,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,01,,KG,GMD,
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,02,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,03,14.75,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,04,14.75,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,05,14.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,06,14.75,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,07,13.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,08,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,09,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,10,13,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,11,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,12,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,01,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,02,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,03,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,04,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,05,15,KG,GMD,GBOS
