Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,1,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,2,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,3,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,4,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,5,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,6,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,7,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,8,12.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,9,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,10,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,11,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2006,12,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,1,,KG,GMD,
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,2,12.8572,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,3,14.75,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,4,14.75,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,5,14.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,6,14.75,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,7,13.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,8,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,9,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,10,13,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,11,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2007,12,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,1,12,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,2,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,3,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,4,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,5,15,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,6,15.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,7,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,8,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,9,18.25,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,10,19,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,11,19.25,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2008,12,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,1,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,2,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,3,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,4,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,5,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,6,17,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,7,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,8,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,9,17,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,10,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,11,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2009,12,14,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,1,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,2,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,3,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,4,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,5,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,6,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,7,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,8,15,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,9,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,10,16.6666,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,11,16.6666,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2010,12,16.6666,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,1,16.6666,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,2,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,3,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,4,16.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,5,16.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,6,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,7,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,8,16,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,9,17,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,10,17,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,11,17,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2011,12,,KG,GMD,
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,1,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,2,,KG,GMD,
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,3,18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,4,19,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,5,19.5,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,6,19,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,7,19,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,8,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,9,21,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,10,18.18,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,11,18.58,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2012,12,,KG,GMD,
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,1,,KG,GMD,
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,2,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,3,21,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,4,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,5,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,6,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,7,20,KG,GMD,GBOS
Gambia,Banjul,Rice (long grain imported) ,Retail,2013,8,19,KG,GMD,GBOS
