Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,6,250,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,7,250,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,8,250,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,9,250,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,10,250,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,11,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2007,12,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,1,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,2,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,3,375,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,4,375,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,5,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,6,400,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,7,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,8,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,9,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,10,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,11,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2008,12,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,1,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,2,425,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,3,440,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,4,425,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,5,400,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,6,425,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,7,400,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,8,400,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,9,400,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,10,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,11,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2009,12,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,1,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,2,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,3,300,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,4,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,5,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,6,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,7,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,8,350,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2010,9,350,KG,XOF,WFP Guinea- Bissau
