Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Senegal,Castors,Rice (imported),Retail,2000,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2000,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2001,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2002,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2003,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2004,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2005,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2007,01,225,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,02,225,KG,XOF,CSA
