Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), CFA Franc BCEAO/kg Commodity Code: 100610_2 ","Senegal, Retail, Dakar, Rice (imported), USD/kg Commodity Code: 100610_2 ",CFAFranc/USD
20-Dec,350,0.65,538.4615385
20-Nov,350,0.63,555.5555556
20-Oct,350,0.63,555.5555556
20-Sep,350,0.63,555.5555556
20-Aug,348,0.63,552.3809524
20-Jul,345,0.6,575
20-Jun,346,0.59,586.440678
20-May,350,0.58,603.4482759
20-Apr,,,#DIV/0!
20-Mar,345,0.58,594.8275862
20-Feb,345,0.57,605.2631579
20-Jan,350,0.59,593.220339
19-Dec,350,0.59,593.220339
19-Nov,350,0.59,593.220339
19-Oct,350,0.59,593.220339
19-Sep,350,0.59,593.220339
19-Aug,350,0.59,593.220339
19-Jul,350,0.6,583.3333333
19-Jun,350,0.6,583.3333333
19-May,350,0.6,583.3333333
19-Apr,350,0.6,583.3333333
19-Mar,350,0.6,583.3333333
19-Feb,325,0.56,580.3571429
19-Jan,350,0.61,573.7704918
18-Dec,350,0.61,573.7704918
18-Nov,363,0.63,576.1904762
18-Oct,350,0.61,573.7704918
18-Sep,350,0.62,564.516129
18-Aug,350,0.62,564.516129
18-Jul,350,0.62,564.516129
18-Jun,381,0.68,560.2941176
18-May,371,0.67,553.7313433
18-Apr,350,0.65,538.4615385
18-Mar,400,0.75,533.3333333
18-Feb,350,0.66,530.3030303
18-Jan,350,0.65,538.4615385
17-Dec,350,0.63,555.5555556
17-Nov,350,0.63,555.5555556
17-Oct,350,0.63,555.5555556
17-Sep,350,0.64,546.875
17-Aug,350,0.63,555.5555556
17-Jul,350,0.61,573.7704918
17-Jun,350,0.6,583.3333333
17-May,350,0.59,593.220339
17-Apr,350,0.57,614.0350877
17-Mar,350,0.57,614.0350877
17-Feb,350,0.57,614.0350877
17-Jan,350,0.57,614.0350877
16-Dec,350,0.56,625
16-Nov,350,0.58,603.4482759
16-Oct,350,0.59,593.220339
16-Sep,350,0.6,583.3333333
16-Aug,350,0.6,583.3333333
16-Jul,350,0.59,593.220339
16-Jun,350,0.6,583.3333333
16-May,350,0.6,583.3333333
16-Apr,350,0.61,573.7704918
16-Mar,350,0.59,593.220339
16-Feb,350,0.59,593.220339
16-Jan,350,0.58,603.4482759
15-Dec,350,0.58,603.4482759
15-Nov,350,0.57,614.0350877
15-Oct,343,0.59,581.3559322
15-Sep,350,0.6,583.3333333
15-Aug,362,0.61,593.442623
15-Jul,375,0.63,595.2380952
15-Jun,,,#DIV/0!
15-May,,,#DIV/0!
15-Apr,400,0.66,606.0606061
15-Mar,475,0.78,608.974359
15-Feb,392,0.68,576.4705882
