City Name,Lat,Lon
Dakar,14.7319,-17.4572
Saint-Louis,16.0333,-16.5
Dagana,16.51372,-15.505464
Nouakchott,18.0783,-15.9744
Kayes,14.45,-11.4167
Tambacounda,13.770646,-13.670849
Touba,14.865067,-15.877825
Bakel,14.902219,-12.461118
Banjul,13.4531,-16.5775
Farafenni,13.5667,-15.6
Ziguinchor,12.562916,-16.273497
Kolda,12.894509,-14.938628
Basse Santa su,13.310179,-14.219248
Diaobe,12.911377,-14.158673
Bisseau,11.8592,-15.5956
Conakry,9.5092,-13.7122
Kaolack,14.152,-16.0726
Thies,14.792364,-16.930531
Diourbel,14.652884,-16.230476
Fatick,14.328299,-16.40467
Louga,15.616241,-16.224677
Matam,15.65368,-13.256164
SaintLouis,16.0333,-16.5
Bamako,12.632644,-7.999785
SaoPaulo2,11,-17.5
Mumbai2,10,-16
Bangkok2,9,-14.5
SaoPaulo,16.5,-19
Mumbai,15,-19
Bangkok,13.5,-19
SouhternRainfedArea_NDVI,12.894509,-14
SouhternRainfedArea_precip,13.4,-13
NorthernRiverValley_NDVI,16.5,-15
NorthernRiverValley_precip,15.5,-14
Pikine,14.7319,-17.4
St.louis,16.0333,-16.5
